,Quarter,close,volume,ticker
602,24.Q1,162.6,122523100,ABBV
603,23.Q4,164.4,112745900,ABBV
604,23.Q3,141.2,110954100,ABBV
605,23.Q2,149.6,119860700,ABBV
606,23.Q1,151.1,99798300,ABBV
607,22.Q4,147.8,119768800,ABBV
608,22.Q3,146.4,114545700,ABBV
609,22.Q2,143.5,116516600,ABBV
610,22.Q1,146.9,178925400,ABBV
611,21.Q4,136.9,168562800,ABBV
612,21.Q3,114.7,137400700,ABBV
613,21.Q2,116.3,120216900,ABBV
614,21.Q1,111.5,134588800,ABBV
615,20.Q4,102.5,147800300,ABBV
616,20.Q3,85.1,171533800,ABBV
617,20.Q2,94.9,141644900,ABBV
618,20.Q1,82.2,204741900,ABBV
619,19.Q4,81.0,191670500,ABBV
620,19.Q3,79.6,161810500,ABBV
621,19.Q2,66.6,245342700,ABBV
622,19.Q1,79.4,127085000,ABBV
623,18.Q4,80.3,181053400,ABBV
624,18.Q3,77.8,138285200,ABBV
625,24.Q3,65.3,295543300,KO
626,24.Q2,66.7,257584900,KO
627,24.Q1,61.8,300592200,KO
628,23.Q4,59.5,293691500,KO
629,23.Q3,56.5,387919000,KO
630,23.Q2,61.9,256289400,KO
631,23.Q1,64.2,213353000,KO
632,22.Q4,61.3,260737100,KO
633,22.Q3,59.8,325950900,KO
634,22.Q2,64.2,275802300,KO
635,22.Q1,64.6,319591200,KO
636,21.Q4,61.0,407891700,KO
637,21.Q3,56.4,331812000,KO
638,21.Q2,57.0,293385300,KO
639,21.Q1,54.0,270807700,KO
640,20.Q4,48.2,457208200,KO
641,20.Q3,48.1,292193800,KO
642,20.Q2,47.2,369294100,KO
643,20.Q1,45.9,395209600,KO
644,19.Q4,58.4,286856700,KO
645,19.Q3,54.4,245853900,KO
646,19.Q2,52.6,257685900,KO
647,19.Q1,49.1,238015200,KO
648,18.Q4,48.1,290752700,KO
649,18.Q3,47.9,326355300,KO
650,24.Q3,148.8,141443600,CVX
651,24.Q2,160.5,131087700,CVX
652,24.Q1,161.3,166190400,CVX
653,23.Q4,147.4,196836100,CVX
654,23.Q3,145.7,225453300,CVX
655,23.Q2,163.7,137322600,CVX
656,23.Q1,168.6,130960700,CVX
657,22.Q4,174.0,181801800,CVX
658,22.Q3,180.9,177673800,CVX
659,22.Q2,163.8,174434600,CVX
660,22.Q1,156.7,200222700,CVX
661,21.Q4,131.3,300811900,CVX
662,21.Q3,114.5,211811800,CVX
663,21.Q2,101.8,205695700,CVX
664,21.Q1,103.1,175170000,CVX
665,20.Q4,85.2,197547100,CVX
666,20.Q3,69.5,251160800,CVX
667,20.Q2,83.9,181475800,CVX
668,20.Q1,92.0,302922300,CVX
669,19.Q4,107.1,154388100,CVX
670,19.Q3,116.1,110432200,CVX
671,19.Q2,123.1,99523800,CVX
672,19.Q1,120.1,221265300,CVX
673,18.Q4,114.7,139155300,CVX
674,18.Q3,111.7,152330900,CVX
675,24.Q3,223.2,82948800,TMUS
676,24.Q2,182.3,84442900,TMUS
677,24.Q1,164.2,92164200,TMUS
678,23.Q4,161.2,109072900,TMUS
679,23.Q3,143.9,101894200,TMUS
680,23.Q2,137.8,98175100,TMUS
681,23.Q1,143.9,99784800,TMUS
682,22.Q4,149.3,108149800,TMUS
683,22.Q3,151.6,121194900,TMUS
