,Ticker,Quarter,EPS,BPS,PER,PBR,ROE,ROA,ROIC,Debt_ratio,매출액,영업이익,순이익,자산총액,부채총액,자본총액,영업활동,투자활동,재무활동,금리,금리등락률,GDP,GDP등락률,유가,유가등락률,S&P500,close,volume,Market Cap,Sector,index,Sector_idx
51,MSFT,24.Q2,11.8,36.13,37.69,12.37,36.0,18.4,52.6,90.8,64727.0,27925.0,22036.0,512163.0,243686.0,268477.0,37195.0,-14848.0,-23563.0,5.5,0.0,3.0,1.4,85.26,3.96,534.01,418.4,440449200.0,3246069.0,Computer and Technology,2.0,4
52,MSFT,24.Q1,11.55,34.07,36.27,12.35,37.5,19.0,54.6,91.3,61858.0,27581.0,21939.0,484275.0,231123.0,253152.0,31917.0,-10700.0,-18808.0,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21,389.3,440777700.0,3246069.0,Computer and Technology,2.0,4
53,MSFT,23.Q4,11.06,32.06,33.86,11.73,38.4,19.3,55.6,97.5,62020.0,27032.0,21870.0,470558.0,232290.0,238268.0,18853.0,-71925.0,-10147.0,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33,397.6,528399000.0,3246069.0,Computer and Technology,2.0,4
54,MSFT,23.Q3,10.33,29.71,30.43,10.63,38.3,19.2,55.2,102.0,56517.0,26895.0,22291.0,445785.0,225071.0,220714.0,30583.0,503.0,14761.0,5.5,0.25,4.4,2.0,86.72,8.92,443.37,338.1,540907000.0,3246069.0,Computer and Technology,2.0,4
55,MSFT,23.Q2,9.68,27.7,34.99,12.28,38.2,19.1,55.0,99.8,56189.0,24254.0,20081.0,411976.0,205753.0,206223.0,28770.0,-9134.0,-11413.0,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28,335.9,666764400.0,3246069.0,Computer and Technology,2.0,4
56,MSFT,23.Q1,9.24,26.16,31.09,11.02,38.5,18.8,55.1,95.2,52857.0,22352.0,18299.0,380088.0,185405.0,194683.0,24441.0,-3264.0,-10290.0,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91,307.3,551497100.0,3246069.0,Computer and Technology,2.0,4
57,MSFT,22.Q4,9.01,24.58,26.51,9.76,39.3,18.8,55.9,99.1,52747.0,20399.0,16425.0,364552.0,181416.0,183136.0,11173.0,-7150.0,-11349.0,4.5,2.0,3.4,0.7,84.88,-12.03,393.28,247.8,666168100.0,3246069.0,Computer and Technology,2.0,4
58,MSFT,22.Q3,9.29,23.28,24.89,10.01,42.1,19.8,59.6,107.3,50122.0,21518.0,17556.0,359784.0,186218.0,173566.0,23198.0,-3132.0,-10883.0,2.5,0.75,2.7,2.4,96.91,-11.17,406.6,232.1,671225100.0,3246069.0,Computer and Technology,2.0,4
59,MSFT,22.Q2,9.65,22.22,26.41,11.53,45.4,21.0,60.7,119.1,51865.0,20534.0,16740.0,364840.0,198298.0,166542.0,24629.0,-9729.0,-13269.0,1.75,1.25,0.3,1.3,108.08,12.49,389.8,280.7,534891800.0,3246069.0,Computer and Technology,2.0,4
60,MSFT,22.Q1,9.58,21.74,31.9,14.19,47.0,21.4,62.5,111.5,49360.0,20364.0,16728.0,344607.0,181683.0,162924.0,25386.0,-16171.0,-17345.0,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09,277.5,627343400.0,3246069.0,Computer and Technology,2.0,4
61,MSFT,21.Q4,9.39,21.32,35.47,15.78,48.4,21.6,63.2,112.7,51728.0,22247.0,18765.0,340389.0,180379.0,160010.0,14480.0,-1161.0,-11986.0,0.25,0.0,7.4,3.9,80.0,10.0,453.42,311.0,947531400.0,3246069.0,Computer and Technology,2.0,4
62,MSFT,21.Q3,8.94,20.23,31.21,13.94,48.6,21.2,62.4,120.7,45317.0,20238.0,20505.0,335418.0,183440.0,151978.0,24540.0,-3250.0,-16276.0,0.25,0.0,3.5,-2.9,70.0,4.0,453.08,331.6,516515800.0,3246069.0,Computer and Technology,2.0,4
63,MSFT,21.Q2,8.05,18.81,33.3,14.37,46.2,19.6,60.9,135.1,46152.0,19095.0,16458.0,333779.0,191791.0,141988.0,22710.0,-10853.0,-11371.0,0.25,0.0,6.4,0.8,66.0,6.0,422.6,284.9,522672700.0,3246069.0,Computer and Technology,2.0,4
64,MSFT,21.Q1,7.34,17.84,31.75,13.22,44.2,18.4,57.5,129.6,41706.0,17048.0,15457.0,308879.0,174374.0,134505.0,22179.0,-9684.0,-13192.0,0.25,0.0,5.6,1.2,60.0,14.5,383.63,252.2,568661600.0,3246069.0,Computer and Technology,2.0,4
65,MSFT,20.Q4,6.71,17.24,32.77,12.91,42.2,17.2,54.5,133.5,43076.0,17897.0,15463.0,304137.0,173901.0,130236.0,12516.0,-1669.0,-13634.0,0.25,0.0,4.4,-30.8,45.5,2.6,369.85,232.0,648076400.0,3246069.0,Computer and Technology,2.0,4
