,금리,금리등락률,GDP,GDP등락률,유가,유가등락률,S&P500
324,2.25,0.0,2.5,0.0,73.76,0.0,290.72
325,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
326,5.5,0.0,3.0,1.4,85.26,3.96,534.01
327,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
328,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
329,5.5,0.25,4.4,2.0,86.72,8.92,443.37
330,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
331,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
332,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
333,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
334,1.75,1.25,0.3,1.3,108.08,12.49,389.8
335,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
336,0.25,0.0,7.4,3.9,80.0,10.0,453.42
337,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
338,0.25,0.0,6.4,0.8,66.0,6.0,422.6
339,0.25,0.0,5.6,1.2,60.0,14.5,383.63
340,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
341,0.25,0.0,35.2,63.9,42.9,12.4,342.57
342,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
343,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
344,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
345,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
346,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
347,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
348,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
349,2.25,0.0,2.5,0.0,73.76,0.0,290.72
350,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
351,5.5,0.0,3.0,1.4,85.26,3.96,534.01
352,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
353,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
354,5.5,0.25,4.4,2.0,86.72,8.92,443.37
355,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
356,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
357,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
358,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
359,1.75,1.25,0.3,1.3,108.08,12.49,389.8
360,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
361,0.25,0.0,7.4,3.9,80.0,10.0,453.42
362,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
363,0.25,0.0,6.4,0.8,66.0,6.0,422.6
364,0.25,0.0,5.6,1.2,60.0,14.5,383.63
365,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
366,0.25,0.0,35.2,63.9,42.9,12.4,342.57
367,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
368,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
369,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
370,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
371,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
372,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
373,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
374,2.25,0.0,2.5,0.0,73.76,0.0,290.72
375,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
376,5.5,0.0,3.0,1.4,85.26,3.96,534.01
377,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
378,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
379,5.5,0.25,4.4,2.0,86.72,8.92,443.37
380,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
381,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
382,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
383,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
384,1.75,1.25,0.3,1.3,108.08,12.49,389.8
385,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
386,0.25,0.0,7.4,3.9,80.0,10.0,453.42
387,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
388,0.25,0.0,6.4,0.8,66.0,6.0,422.6
389,0.25,0.0,5.6,1.2,60.0,14.5,383.63
390,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
391,0.25,0.0,35.2,63.9,42.9,12.4,342.57
392,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
393,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
394,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
395,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
396,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
397,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
398,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
399,2.25,0.0,2.5,0.0,73.76,0.0,290.72
400,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
401,5.5,0.0,3.0,1.4,85.26,3.96,534.01
402,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
403,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
404,5.5,0.25,4.4,2.0,86.72,8.92,443.37
405,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
406,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
407,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
408,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
409,1.75,1.25,0.3,1.3,108.08,12.49,389.8
410,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
411,0.25,0.0,7.4,3.9,80.0,10.0,453.42
412,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
413,0.25,0.0,6.4,0.8,66.0,6.0,422.6
414,0.25,0.0,5.6,1.2,60.0,14.5,383.63
415,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
416,0.25,0.0,35.2,63.9,42.9,12.4,342.57
417,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
418,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
419,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
420,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
421,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
422,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
423,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
424,2.25,0.0,2.5,0.0,73.76,0.0,290.72
425,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
426,5.5,0.0,3.0,1.4,85.26,3.96,534.01
427,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
428,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
429,5.5,0.25,4.4,2.0,86.72,8.92,443.37
430,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
431,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
432,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
433,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
434,1.75,1.25,0.3,1.3,108.08,12.49,389.8
435,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
436,0.25,0.0,7.4,3.9,80.0,10.0,453.42
437,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
438,0.25,0.0,6.4,0.8,66.0,6.0,422.6
439,0.25,0.0,5.6,1.2,60.0,14.5,383.63
440,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
